Topic,Data,authorized_identities
Executive Severance Agreement,"(6) Additional Limitation.

(a) Anything in this Agreement to the contrary notwithstanding, in the event that any compensation, payment or distribution by the Company to or for the benefit of Executive, whether paid or payable or distributed or distributable pursuant to the terms of this Agreement or otherwise (the “Severance Payments”), would be subject to the excise tax imposed by Section 4999 of the Code, the following provisions shall apply:

(i) If the Severance Payments, reduced by the sum of (A) the Excise Tax and (B) the total of the Federal, state, and local income and employment taxes payable by Executive on the amount of the Severance Payments which are in excess of the Threshold Amount, are greater than or equal to the Threshold Amount, Executive shall be entitled to the full benefits payable under this Agreement.

(ii) If the Threshold Amount is less than (A) the Severance Payments, but greater than (B) the Severance Payments reduced by the sum of (1) the Excise Tax and (2) the total of the Federal, state, and local income and employment taxes on the amount of the Severance Payments which are in excess of the Threshold Amount, then the benefits payable under this Agreement shall be reduced (but not below zero) to the extent necessary so that the sum of all Severance Payments shall not exceed the Threshold Amount.

(b) For the purposes of this Section 6, “Threshold Amount” shall mean three times Executive’s “base amount” within the meaning of Section 280G(b)(3) of the Code and the regulations promulgated thereunder less one dollar ($1.00); and “Excise Tax” shall mean the excise tax imposed by Section 4999 of the Code, and any interest or penalties incurred by Executive with respect to such excise tax.

(c) The determination as to which of the alternative provisions of Section 6(a) shall apply to Executive shall be made by a nationally recognized accounting firm selected by the Company (the “Accounting Firm”), which shall provide detailed supporting calculations both to the Company and the Executive within 15 business days of the Termination Date, if applicable, or at such earlier time as is reasonably requested by the Company or Executive. For purposes of determining which of the alternative provisions of Section 6(a) shall apply, Executive shall be deemed to pay federal income taxes at the highest marginal rate of federal income taxation applicable to individuals for the calendar year in which the determination is to be made, and state and local income taxes at the highest marginal rates of individual taxation in the state and locality of the Executive’s residence on the Date of Termination, net of the maximum reduction in federal income taxes which could be obtained from deduction of such state and local taxes. Any determination by the Accounting Firm shall be binding upon the Company and Executive.",HR
Executive Severance Agreement,"TERMINATION OF EMPLOYMENT FOLLOWING A CHANGE IN CONTROL. Employee
shall be entitled to the benefits specified in Sections 3(iii) and 4 if (i) a
Change in Control occurs while Employee is employed by the Company, and this
Agreement is in effect, and (ii) during the Protected Period Employee's
employment is terminated without Cause by the Company, for Good Reason by
Employee, or by Employee without Good Reason with the consent of the
Company's Board of Directors ('Board'). If Employee's employment is
terminated due to Disability or death, or for Cause, then Employee shall not
be entitled to any benefits under this Agreement except as specified in
Sections 3(i) and 3(ii) . No benefits hereunder are payable prior to the date
on which a Change in Control occurs unless otherwise approved by the Board of
Directors of the Company. For purposes of this Agreement, the 'Protected
Period' shall mean the period of time beginning with the Change in Control
and ending on the second anniversary of such Change in ",HR
Executive Severance Agreement,"CAUSE. The Company may terminate Employee's employment for Cause.
For the purposes of this Agreement, the Company shall have 'Cause' to terminate
Employee's employment hereunder only (A) upon the willful and continued failure
by Employee to perform substantially Employee's duties with the Company, other
than any such failure resulting from Employee's incapacity due to physical or
mental illness, which failure continues unabated after a demand for substantial
performance is delivered to Employee by the Board that specifically identified
the manner in which the Board believes that Employee has not substantially
performed Employee's duties, (B) if Employee willfully engages in gross
misconduct materially and demonstrably injurious to the Company or (C) upon
fraud, misappropriation or embezzlement related to the business of the Company
on the part of Employee. For purposes of this paragraph, an act or failure to
act on Employee's part shall be considered 'willful' if done or omitted to be
done by Employee otherwise than in good faith and without reasonable belief that
Employee's action or omission was in the best interest of the Company.
Notwithstanding the foregoing, Employee shall not be deemed to have been
terminated by the Company for Cause unless and until the Company shall have
delivered to Employee a copy of a resolution duly adopted by the affirmative
vote of not less than three-quarters of the entire membership of the Board, at a
meeting of the Board called and held for the purpose (after reasonable notice to
Employee and an opportunity for Employee, together with Employee's counsel, to
be heard before the Board), finding that in the good-faith opinion of the Board
Employee was guilty of conduct constituting Cause hereunder and specifying the
particulars thereof in reasonable detail.",HR
Merger Agreement,"A. The Company and the Operating Partnership desire to consolidate the ownership of (i) the Management Company, Malkin Properties, L.L.C. and Malkin Properties of New York, L.L.C. (collectively, the “Reverse Merger Management Companies”) and Malkin Properties of Connecticut, Inc. and Malkin Construction Corp. (collectively, the “Forward Merger Management Companies” and together with the Reverse Merger Management Companies, the “Management Companies”) and (ii) a portfolio of real properties (the “Contributed Properties”) owned by the entities (the “Contributing Entities”), each as set forth on Exhibit A, subject to the approval of the owners of the Management Companies and the Contributing Entities, through a series of transactions (the “Formation Transactions”) whereby (a) the Operating Partnership intends to acquire, directly or indirectly, the Reverse Merger Management Companies, (b) the Company intends to acquire, directly or indirectly, the Forward Merger Management Companies and (c) the Operating Partnership intends to acquire, directly or indirectly, the right title and interests of the Contributing Entities in the Contributed Properties (the “Property Interests”) as indicated on Exhibit A. The Operating Partnership also desires to have an option to acquire the interests (the “Optional Property Interests”) owned by certain private entities (the “Optional Contributing Entities”) in the real properties (the “Optional Contributed Properties”) as indicated on Exhibit A, which may be exercised only after the final resolution of certain ongoing litigation with respect to the Optional Contributed Properties.

B. The Formation Transactions will occur in conjunction with the proposed initial public offering (the “IPO”) of Class A Common Stock of the Company, par value $0.01 per share (the “Class A Common Stock”). The Company will operate as a self-administered and self-managed real estate investment trust (“REIT”) within the meaning of Section 856 of the Internal Revenue Code of 1986, as amended (the “Code”) and is the sole general partner of the Operating Partnership.

C. (i) Pursuant to this Agreement, concurrently with the closing of the other Formation Transactions, a New York limited liability company to be formed prior to the Effective Time (as defined in Section 1.4) and to be wholly owned by the Operating Partnership (“Merger Sub”) will merge with and into the Management Company, with the Management Company as the surviving entity (the “Merger”), pursuant to which each equity interest in the Management Company (the “Management Company Equity Interest”) will be converted automatically as set forth in this Agreement into the right to receive limited partnership interest in the Operating Partnership (the “OP Units”) and shares of Class B Common Stock of the Company, par value $0.01 per share (the “Class B Common Stock,” together with the Class A Common Stock, the “Common Stock”) and (ii) concurrently with the execution of this",Legal
Merger Agreement,"The association shall enter into an agreement with a named trustee and will issue to such
trustee a stock certificate covering the aggregate of the fractional shares represented by
the transferable scrip certificates issued and outstanding. Such agreement shall provide
that during the life of the scrip certificates any individual acquiring a sufficient amount of
fractions to equal one or more whole shares may exchange same through the trustee, for
stock certificates representing whole shares; that after (insert date) the expiration date
of such scrip certificates, that portion of stock remaining in the hands of the trustee will
be disposed of by him or her under sealed bid, following appropriate public notice, or at
public auction, to the highest bidder, or in such manner as may be determined by the
board of directors of the association, but as not less than the market value on the date of
sale; that the proceeds of such sale shall then be distributed pro rata to the holders of scrip
certificates outstanding and not presented for exchange, upon its surrender. ",Legal
Merger Agreement,"THIS AGREEMENT AND PLAN OF MERGER, dated as of January 15, 2007
(this “Agreement”), is by and among VERIZON COMMUNICATIONS INC., a
Delaware corporation (“Verizon”), NORTHERN NEW ENGLAND SPINCO INC., a
Delaware corporation (“Spinco”), and FAIRPOINT COMMUNICATIONS, INC., a
Delaware corporation (the “Company”).
WHEREAS, Spinco is a newly formed, wholly owned, direct Subsidiary of
Verizon;
WHEREAS, on or prior to the Distribution Date (as such term, and each other
capitalized term used herein and not defined, is defined in Article I hereof), and subject to
the terms and conditions set forth in the Distribution Agreement entered into by and
between Verizon and Spinco on the date hereof (the “Distribution Agreement”), Verizon
New England Inc., a New York corporation (“Verizon New England”), which is a wholly
owned, direct Subsidiary of NYNEX Corporation, a Delaware corporation (“NYNEX”),
which is a wholly owned, direct Subsidiary of Verizon, will cause the formation of
Northern New England Telephone Operations Inc. (“ILEC Spinco Subsidiary”), which
will be a wholly-owned direct Subsidiary of Verizon New England;
WHEREAS, on or prior to the Distribution Date, Verizon New England will
transfer to ILEC Spinco Subsidiary certain Spinco Assets and Spinco Liabilities in the
manner set forth in the Distribution Agreement and will thereafter distribute all capital
stock of ILEC Spinco Subsidiary to NYNEX (such transfers and the distribution, the
“First Internal Spinoff”), which in turn will distribute all capital stock of ILEC Spinco
Subsidiary to Verizon (the “Second Internal Spinoff” and, together with the First Internal
Spinoff, the “Internal Spinoffs”); ",Legal
Merger Agreement,"(iii) the Contribution, together with the Distribution, qualify as a tax-free reorganization
under Section 368(a)(1)(D) of the Code; (iv) the Distribution qualify as a distribution of
Spinco stock to Verizon stockholders eligible for nonrecognition under Sections 355(a)
and 361(c) of the Code; (v) no gain or loss be recognized by Verizon for federal income
tax purposes in connection with the receipt of the Spinco Securities or the consummation
of the Debt Exchange; (vi) the Special Dividend qualify as money transferred to creditors
or distributed to shareholders in connection with the reorganization within the meaning of
Section 361(b)(1) of the Code, to the extent that Verizon distributes the Special Dividend
to its creditors and/or shareholders in connection with the Contribution; (vii) the Merger
qualify as a tax-free reorganization pursuant to Section 368 of the Code; and (viii) no
gain or loss be recognized as a result of such transactions for federal income tax purposes
by any of Verizon, Spinco, and their respective stockholders and Subsidiaries (except to
the extent of cash received in lieu of fractional shares); and
WHEREAS, the parties to this Agreement intend that throughout the internal
restructurings taken in contemplation of this Agreement, including the Internal Spinoffs
and Internal Restructurings, the Contribution and the Distribution, and throughout the
Merger, the Spinco Employees shall maintain uninterrupted continuity of employment,
compensation and benefits, and also for union represented employees, uninterrupted
continuity of coverage under their collective bargaining agreements, in each case as
described in the Employee Matters Agreement",Legal
Merger Agreement,"Description of HP-Mercury Merger
In this transaction, HP, the acquirer, created and incorporated Mars Landing
Corporation as the merger subsidiary. The merger with Mercury was effectuated in
two stages. First, Mars Landing made a tender offer to Mercury stockholders, and the
agreed offer price was $52.00 per share. As part of the deal, Mercury directors
agreed to recommend and approve the merger to encourage stockholders to tender
their respective shares of stock. Once the requisite number of shares was tendered,
the second stage of the deal was to occur. Specifically, Mars Landing merged into
Mercury, and Mars Landing ceased to exist. A key provision of the merger is that HP
is entitled to designate enough members of the Mercury board of directors as is
sufficient to allow HP to gain control of the board. This board control provision is
interesting in that it gives Mercury two options for carrying out the agreement: the
company can either increase the number of board positions to allow HP to gain
control through naming new directors to the new slots, or Mercury can choose to
“kick off” board members.1",Legal
NDA,"The Parties agree as follows:

1. These terms have the following definitions in this Agreement:

“Confidential Information” means all information concerning or related to the business, operations, results of operations, assets and affairs of a Disclosing Party, including, but not limited to, financial and accounting information, budgets, projections, forecasts, business plans, operating methods, business strategies, product and service information, product plans, product specifications, product designs, processes, plans, drawings, concepts, research and development data and materials, systems, techniques, trade secrets, intellectual property, software programs and works of authorship, know-how, marketing and distribution plans, planning data, marketing strategies, price lists, market studies, employee lists, supplier lists, customer and prospect lists, and supplier and other customer information and data that the Disclosing Party or its Representatives discloses (or has, prior to the date of this Agreement, disclosed) to the Recipient or its Representatives in connection with the Opportunity, however documented or disclosed, together with any copies, extracts, analyses, compilations, studies or other documents prepared or received by the Recipient or its Representatives, which contain or otherwise reflect such information.

“Disclosing Party” means the Party furnishing Confidential Information.

“Opportunity” has the meaning set forth in the Background.

“Recipient” means the Party receiving Confidential Information.

“Representatives” means the officers, directors, employees, partners, members, managers, agents, advisors, subsidiaries, affiliates or representatives of a Party.",Legal
NDA,"3. Neither the Counterparty nor any current or future affiliate of the Counterparty, for a period ending on the earlier of (A) the date on which the Parties enter into a definitive agreement with respect to the Opportunity and (B) one year from the date of this Agreement (the “Standstill Term”), shall in any manner, directly or indirectly, without the prior written approval of the Company’s Board of Directors: (a) effect or participate in or in any way assist, facilitate, encourage or form, join or in any way participate in a “group” (as defined under the rules and regulations of the Securities and Exchange Commission) with any other person to effect or seek, offer or propose to effect or participate in (i) any acquisition of any voting securities (or beneficial ownership thereof), or rights or options to acquire any voting securities (or beneficial ownership thereof), or any assets or businesses of the Company, (ii) any tender or exchange offer, merger or other business combination involving the Company, any of its subsidiaries or affiliates or the assets of the Company or its subsidiaries or affiliates, (iii) any recapitalization, restructuring, liquidation, dissolution or other extraordinary transaction with respect to the Company or any of its subsidiaries or affiliates or (iv) any “solicitation” of “proxies” (as these terms are used in the rules and regulations of the Securities and Exchange Commission) or consents to vote any voting securities of the Company or any of its affiliates; or (b) authorize any of their respective Representatives to, in any manner, directly or indirectly, take any of the actions set forth in (a) above. During the Standstill Term, the Counterparty shall use its best efforts to cause its and its current and future affiliates’ Representatives to not take, in any

manner, directly or indirectly, without the prior written approval of the Company’s Board of Directors, any of the actions set forth in (a) above. Nothing in this Section 3 shall prohibit the Counterparty from making, at any time during the Standstill Term, confidential proposals to the Company’s management or board of directors relating to any of the matters set forth in clause (a) above. Notwithstanding anything to the contrary contained in this Agreement, if, at any time during the Standstill Term, (i) any Person (other than the Counterparty) or group of Persons (A) commences, or announces an intention to commence, a tender or exchange offer for at least 51% of any class of the Company’s securities, (B) commences, or announces an intention to commence, a proxy contest or a solicitation of consents with respect to the election of any director or directors of the Company, (C) acquires beneficial ownership of at least 15% of any class of the Company’s securities or (D) enters into, or announces an intention to enter into, an agreement with the Company contemplating the acquisition (by way of merger, tender offer or otherwise) of at least 15% of any class of the Company’s securities or all or a substantial portion of the assets of the Company or any of the Company’s subsidiaries, (ii) the Company commences negotiations with any Person (other than the Counterparty) or group of Persons with respect to any transaction of the type referred to in clause (i) above without entering into with such Person or group of Persons a mutual non-disclosure agreement having provisions no less restrictive than those set forth in this Agreement (and the Company shall promptly disclose such agreement to the Counterparty) or (iii) the Company releases any Person from restrictions similar to those set forth in this Section 3, then (in any of such cases) the restrictions set forth in this Section 3 shall immediately terminate and cease to be of any further force or effect.",Legal
NDA,"4. Confidential Information does not include information that the Recipient demonstrates (a) is in the public domain through no fault of, or disclosure by, the Recipient or its Representatives, subsidiaries or affiliates, (b) was properly known to the Recipient, without restriction, prior to disclosure by the Disclosing Party, (c) was properly disclosed to the Recipient by another person, but only if such person is not bound by a confidentiality agreement with the Disclosing Party or is not otherwise restricted from providing such information by a contractual, legal or fiduciary duty. Additionally, notwithstanding any other provision of this Agreement, if the Recipient or any Representative of the Recipient is, at any time, legally compelled to disclose any Confidential Information, the Recipient will provide the Disclosing Party with prompt notice thereof so that the Disclosing Party may seek an appropriate protective order or other appropriate relief, or waive compliance with the provisions of this Agreement. In the absence of a protective order or a waiver from the Disclosing Party, the Recipient or its Representative may comply with such legal requirement by disclosing only such Confidential Information as is legally required.

5. Each Party acknowledges and agrees that neither Party nor any of its Representatives makes any representation or warranty (express or implied) as to the accuracy or completeness of the Confidential Information, except for those express representations and warranties that may be made and set forth in a definitive agreement regarding the Opportunity, if any, that is entered into between the Parties.

6. If either Party decides not to proceed with the Opportunity, the Parties will promptly return or destroy all Confidential Information received under this Agreement, and all

copies, extracts and other objects or items in which such Confidential Information may be contained or embodied, and certify in writing that it has complied with this requirement.",Legal
NDA,"6. Indemnification. Each party shall indemnify and hold harmless the other party and its affiliates and their respective directors, officers, employees, agents and representatives from and against any and all losses, damages, costs and expenses (including, without limitation, reasonable attorneys’ fees and expenses) caused by or arising out of any direct breach of this Agreement or any direct breach for it is responsible hereunder, and any and all actions, suits, proceedings, claims, demands or judgments incident thereto.

7. Equitable Remedies. Both parties hereby agree that their failure to perform any obligation or duty which they have agreed to perform under this Agreement may cause irreparable harm to the other party, which harm cannot be adequately compensated for by money damages. It is further agreed by both parties that an order of specific performance or for injunctive relief against the recipient party in the event of a breach or default under the terms of this Agreement would be equitable and would not work a hardship on the recipient party. Accordingly, in the event of a breach or default by either party hereunder, the non-defaulting party, without any bond or other security being required and in addition to whatever other remedies are or might be available at law or in equity, shall have the right either to compel specific performance by, or to obtain injunctive relief against, the other party, with respect to any obligation or duty herein or breach thereof.

8. No Licenses Granted. Neither party grants any licenses, by implication or otherwise, under any patent, copyright, trademark, trade secret or other rights by disclosing Confidential Information under this Agreement.

9. Definitive Agreement. The Company and Exar understand and agree that no contract or agreement providing for any transaction involving the Company or Exar shall be deemed to exist between Exar and the Company unless and until a final definitive agreement has been executed and delivered, and the Company and Exar hereby waive in advance, any claims (including, without limitation, breach of contract) in connection with any such transaction unless and until Exar and the Company shall have entered into a final definitive agreement. The Company and Exar also agree that unless and until a final definitive agreement between Exar and the Company has been executed and delivered, neither Exar nor the Company will be under any legal obligation of any kind whatsoever with respect to such a transaction by virtue of this Agreement except for the matters specifically agreed to herein. Both parties reserve the right, in their sole discretion, to reject any and all proposals made by the other party and to terminate discussions and negotiations with respect to a Transaction at any time. Both parties further understand that (i) either party shall be free to conduct any process for any transaction involving the Company or Exar, if and as such party in its sole discretion shall determine (including, without limitation, negotiating with any other interested party and entering into a definitive agreement without prior notice to the other or any other person), (ii) any procedures relating to such process or transaction may be changed at any time in either party’s sole discretion without notice to the other or any other person, and (iii) neither party shall have any claims whatsoever against the other or any of its agents or representatives (including, without limitation, RBCCM) arising out of or relating to any transaction involving the Company and Exar (other than any claims against the parties to a definitive agreement in accordance with the terms thereof) nor, unless a definitive agreement is entered into, against any third party with whom a transaction is entered into.",Legal
NDA,"11. Each Party acknowledges and agrees that any breach of this Agreement would cause irreparable harm to the other Party for which damages are not an adequate remedy, and that the other Party shall therefore be entitled (without the posting of a bond or other security) to equitable relief in addition to all other remedies available at law.

12. This Agreement is governed by the internal laws of the State of Delaware and may be modified or waived only in writing signed by the Party against which such modification or waiver is sought to be enforced. The Parties irrevocably and unconditionally consent to submit to the exclusive jurisdiction of the courts of the State of Delaware in New Castle County, Delaware, for any actions, suits or proceedings arising out of or relating to this Agreement (and the Parties agree not to commence any action, suit or proceeding relating thereto, except in such courts), and further agree that service of any process, summons, notice or document by U.S. registered mail to the other Party’s address set forth next to their signature hereto shall be effective service of process for any action, suit or proceeding brought in any such court. The Parties irrevocably and unconditionally waive any objection to the laying of venue of any action, suit or proceeding arising out of this Agreement, in the courts of the State of Delaware or the United States of America located in New Castle County, Delaware, and hereby further irrevocably and unconditionally waive and agree not to plead or claim in any such court that any such action, suit or proceeding brought in any such court has been brought in an inconvenient forum.

13. Neither the failure nor delay by any Party in exercising any right hereunder will operate as a waiver of such right, and no single or partial exercise of a right will preclude any other or further exercise of such right. The term “person” means any individual, corporation, partnership, limited liability company, joint venture, estate, trust, association, organization, or other entity or governmental body. If any provision of this Agreement is found to be unenforceable, such provision will be limited or deleted to the minimum extent necessary so that the remaining terms remain in full force and effect. The prevailing Party or Parties in any dispute or legal action regarding the subject matter of this Agreement (as finally determined by a court of competent jurisdiction) shall be entitled to recover attorneys’ fees and costs.

14. This Agreement may be executed and delivered by facsimile or .pdf signature and in two or more counterparts, each of which shall be deemed an original, but all of which together shall constitute one and the same instrument.",Legal
